-0.0775,-0.0750,89,=(C36+C38)/2,=(C37-D37)/SQRT(C37*(1-C37/$C$108)+0.25*(C36+C38)*(1-(C36+C38)/$C$108)),=2*(1-NORMSDIST(ABS(E37))),
-0.0750,-0.0725,103,=(C37+C39)/2,=(C38-D38)/SQRT(C38*(1-C38/$C$108)+0.25*(C37+C39)*(1-(C37+C39)/$C$108)),=2*(1-NORMSDIST(ABS(E38))),
-0.0725,-0.0700,95,=(C38+C40)/2,=(C39-D39)/SQRT(C39*(1-C39/$C$108)+0.25*(C38+C40)*(1-(C38+C40)/$C$108)),=2*(1-NORMSDIST(ABS(E39))),
-0.0700,-0.0675,105,=(C39+C41)/2,=(C40-D40)/SQRT(C40*(1-C40/$C$108)+0.25*(C39+C41)*(1-(C39+C41)/$C$108)),=2*(1-NORMSDIST(ABS(E40))),
-0.0675,-0.0650,101,=(C40+C42)/2,=(C41-D41)/SQRT(C41*(1-C41/$C$108)+0.25*(C40+C42)*(1-(C40+C42)/$C$108)),=2*(1-NORMSDIST(ABS(E41))),
-0.0650,-0.0625,116,=(C41+C43)/2,=(C42-D42)/SQRT(C42*(1-C42/$C$108)+0.25*(C41+C43)*(1-(C41+C43)/$C$108)),=2*(1-NORMSDIST(ABS(E42))),
-0.0625,-0.0600,97,=(C42+C44)/2,=(C43-D43)/SQRT(C43*(1-C43/$C$108)+0.25*(C42+C44)*(1-(C42+C44)/$C$108)),=2*(1-NORMSDIST(ABS(E43))),
-0.0600,-0.0575,96,=(C43+C45)/2,=(C44-D44)/SQRT(C44*(1-C44/$C$108)+0.25*(C43+C45)*(1-(C43+C45)/$C$108)),=2*(1-NORMSDIST(ABS(E44))),
-0.0575,-0.0550,113,=(C44+C46)/2,=(C45-D45)/SQRT(C45*(1-C45/$C$108)+0.25*(C44+C46)*(1-(C44+C46)/$C$108)),=2*(1-NORMSDIST(ABS(E45))),
-0.0550,-0.0525,101,=(C45+C47)/2,=(C46-D46)/SQRT(C46*(1-C46/$C$108)+0.25*(C45+C47)*(1-(C45+C47)/$C$108)),=2*(1-NORMSDIST(ABS(E46))),
-0.0525,-0.0500,115,=(C46+C48)/2,=(C47-D47)/SQRT(C47*(1-C47/$C$108)+0.25*(C46+C48)*(1-(C46+C48)/$C$108)),=2*(1-NORMSDIST(ABS(E47))),
-0.0500,-0.0475,123,=(C47+C49)/2,=(C48-D48)/SQRT(C48*(1-C48/$C$108)+0.25*(C47+C49)*(1-(C47+C49)/$C$108)),=2*(1-NORMSDIST(ABS(E48))),
-0.0475,-0.0450,109,=(C48+C50)/2,=(C49-D49)/SQRT(C49*(1-C49/$C$108)+0.25*(C48+C50)*(1-(C48+C50)/$C$108)),=2*(1-NORMSDIST(ABS(E49))),
-0.0450,-0.0425,127,=(C49+C51)/2,=(C50-D50)/SQRT(C50*(1-C50/$C$108)+0.25*(C49+C51)*(1-(C49+C51)/$C$108)),=2*(1-NORMSDIST(ABS(E50))),
-0.0425,-0.0400,126,=(C50+C52)/2,=(C51-D51)/SQRT(C51*(1-C51/$C$108)+0.25*(C50+C52)*(1-(C50+C52)/$C$108)),=2*(1-NORMSDIST(ABS(E51))),
-0.0400,-0.0375,135,=(C51+C53)/2,=(C52-D52)/SQRT(C52*(1-C52/$C$108)+0.25*(C51+C53)*(1-(C51+C53)/$C$108)),=2*(1-NORMSDIST(ABS(E52))),
-0.0375,-0.0350,135,=(C52+C54)/2,=(C53-D53)/SQRT(C53*(1-C53/$C$108)+0.25*(C52+C54)*(1-(C52+C54)/$C$108)),=2*(1-NORMSDIST(ABS(E53))),
-0.0350,-0.0325,150,=(C53+C55)/2,=(C54-D54)/SQRT(C54*(1-C54/$C$108)+0.25*(C53+C55)*(1-(C53+C55)/$C$108)),=2*(1-NORMSDIST(ABS(E54))),
-0.0325,-0.0300,160,=(C54+C56)/2,=(C55-D55)/SQRT(C55*(1-C55/$C$108)+0.25*(C54+C56)*(1-(C54+C56)/$C$108)),=2*(1-NORMSDIST(ABS(E55))),
-0.0300,-0.0275,144,=(C55+C57)/2,=(C56-D56)/SQRT(C56*(1-C56/$C$108)+0.25*(C55+C57)*(1-(C55+C57)/$C$108)),=2*(1-NORMSDIST(ABS(E56))),
-0.0275,-0.0250,170,=(C56+C58)/2,=(C57-D57)/SQRT(C57*(1-C57/$C$108)+0.25*(C56+C58)*(1-(C56+C58)/$C$108)),=2*(1-NORMSDIST(ABS(E57))),
-0.0250,-0.0225,158,=(C57+C59)/2,=(C58-D58)/SQRT(C58*(1-C58/$C$108)+0.25*(C57+C59)*(1-(C57+C59)/$C$108)),=2*(1-NORMSDIST(ABS(E58))),
-0.0225,-0.0200,157,=(C58+C60)/2,=(C59-D59)/SQRT(C59*(1-C59/$C$108)+0.25*(C58+C60)*(1-(C58+C60)/$C$108)),=2*(1-NORMSDIST(ABS(E59))),
-0.0200,-0.0175,165,=(C59+C61)/2,=(C60-D60)/SQRT(C60*(1-C60/$C$108)+0.25*(C59+C61)*(1-(C59+C61)/$C$108)),=2*(1-NORMSDIST(ABS(E60))),
-0.0175,-0.0150,191,=(C60+C62)/2,=(C61-D61)/SQRT(C61*(1-C61/$C$108)+0.25*(C60+C62)*(1-(C60+C62)/$C$108)),=2*(1-NORMSDIST(ABS(E61))),
-0.0150,-0.0125,158,=(C61+C63)/2,=(C62-D62)/SQRT(C62*(1-C62/$C$108)+0.25*(C61+C63)*(1-(C61+C63)/$C$108)),=2*(1-NORMSDIST(ABS(E62))),
-0.0125,-0.0100,200,=(C62+C64)/2,=(C63-D63)/SQRT(C63*(1-C63/$C$108)+0.25*(C62+C64)*(1-(C62+C64)/$C$108)),=2*(1-NORMSDIST(ABS(E63))),
-0.0100,-0.0075,199,=(C63+C65)/2,=(C64-D64)/SQRT(C64*(1-C64/$C$108)+0.25*(C63+C65)*(1-(C63+C65)/$C$108)),=2*(1-NORMSDIST(ABS(E64))),
-0.0075,-0.0050,210,=(C64+C66)/2,=(C65-D65)/SQRT(C65*(1-C65/$C$108)+0.25*(C64+C66)*(1-(C64+C66)/$C$108)),=2*(1-NORMSDIST(ABS(E65))),
-0.0050,-0.0025,213,=(C65+C67)/2,=(C66-D66)/SQRT(C66*(1-C66/$C$108)+0.25*(C65+C67)*(1-(C65+C67)/$C$108)),=2*(1-NORMSDIST(ABS(E66))),
-0.0025,0.0000,246,=(C66+C68)/2,=(C67-D67)/SQRT(C67*(1-C67/$C$108)+0.25*(C66+C68)*(1-(C66+C68)/$C$108)),=2*(1-NORMSDIST(ABS(E67))),just below zero
0.0000,0.0025,291,=(C67+C69)/2,=(C68-D68)/SQRT(C68*(1-C68/$C$108)+0.25*(C67+C69)*(1-(C67+C69)/$C$108)),=2*(1-NORMSDIST(ABS(E68))),just above zero
0.0025,0.0050,259,=(C68+C70)/2,=(C69-D69)/SQRT(C69*(1-C69/$C$108)+0.25*(C68+C70)*(1-(C68+C70)/$C$108)),=2*(1-NORMSDIST(ABS(E69))),
0.0050,0.0075,279,=(C69+C71)/2,=(C70-D70)/SQRT(C70*(1-C70/$C$108)+0.25*(C69+C71)*(1-(C69+C71)/$C$108)),=2*(1-NORMSDIST(ABS(E70))),
0.0075,0.0100,254,=(C70+C72)/2,=(C71-D71)/SQRT(C71*(1-C71/$C$108)+0.25*(C70+C72)*(1-(C70+C72)/$C$108)),=2*(1-NORMSDIST(ABS(E71))),
0.0100,0.0125,285,=(C71+C73)/2,=(C72-D72)/SQRT(C72*(1-C72/$C$108)+0.25*(C71+C73)*(1-(C71+C73)/$C$108)),=2*(1-NORMSDIST(ABS(E72))),
0.0125,0.0150,305,=(C72+C74)/2,=(C73-D73)/SQRT(C73*(1-C73/$C$108)+0.25*(C72+C74)*(1-(C72+C74)/$C$108)),=2*(1-NORMSDIST(ABS(E73))),
0.0150,0.0175,286,=(C73+C75)/2,=(C74-D74)/SQRT(C74*(1-C74/$C$108)+0.25*(C73+C75)*(1-(C73+C75)/$C$108)),=2*(1-NORMSDIST(ABS(E74))),
0.0175,0.0200,290,=(C74+C76)/2,=(C75-D75)/SQRT(C75*(1-C75/$C$108)+0.25*(C74+C76)*(1-(C74+C76)/$C$108)),=2*(1-NORMSDIST(ABS(E75))),
0.0200,0.0225,286,=(C75+C77)/2,=(C76-D76)/SQRT(C76*(1-C76/$C$108)+0.25*(C75+C77)*(1-(C75+C77)/$C$108)),=2*(1-NORMSDIST(ABS(E76))),
0.0225,0.0250,309,=(C76+C78)/2,=(C77-D77)/SQRT(C77*(1-C77/$C$108)+0.25*(C76+C78)*(1-(C76+C78)/$C$108)),=2*(1-NORMSDIST(ABS(E77))),
0.0250,0.0275,324,=(C77+C79)/2,=(C78-D78)/SQRT(C78*(1-C78/$C$108)+0.25*(C77+C79)*(1-(C77+C79)/$C$108)),=2*(1-NORMSDIST(ABS(E78))),
0.0275,0.0300,304,=(C78+C80)/2,=(C79-D79)/SQRT(C79*(1-C79/$C$108)+0.25*(C78+C80)*(1-(C78+C80)/$C$108)),=2*(1-NORMSDIST(ABS(E79))),
0.0300,0.0325,291,=(C79+C81)/2,=(C80-D80)/SQRT(C80*(1-C80/$C$108)+0.25*(C79+C81)*(1-(C79+C81)/$C$108)),=2*(1-NORMSDIST(ABS(E80))),
0.0325,0.0350,352,=(C80+C82)/2,=(C81-D81)/SQRT(C81*(1-C81/$C$108)+0.25*(C80+C82)*(1-(C80+C82)/$C$108)),=2*(1-NORMSDIST(ABS(E81))),
0.0350,0.0375,341,=(C81+C83)/2,=(C82-D82)/SQRT(C82*(1-C82/$C$108)+0.25*(C81+C83)*(1-(C81+C83)/$C$108)),=2*(1-NORMSDIST(ABS(E82))),
0.0375,0.0400,292,=(C82+C84)/2,=(C83-D83)/SQRT(C83*(1-C83/$C$108)+0.25*(C82+C84)*(1-(C82+C84)/$C$108)),=2*(1-NORMSDIST(ABS(E83))),
0.0400,0.0425,301,=(C83+C85)/2,=(C84-D84)/SQRT(C84*(1-C84/$C$108)+0.25*(C83+C85)*(1-(C83+C85)/$C$108)),=2*(1-NORMSDIST(ABS(E84))),
0.0425,0.0450,292,=(C84+C86)/2,=(C85-D85)/SQRT(C85*(1-C85/$C$108)+0.25*(C84+C86)*(1-(C84+C86)/$C$108)),=2*(1-NORMSDIST(ABS(E85))),
0.0450,0.0475,326,=(C85+C87)/2,=(C86-D86)/SQRT(C86*(1-C86/$C$108)+0.25*(C85+C87)*(1-(C85+C87)/$C$108)),=2*(1-NORMSDIST(ABS(E86))),
0.0475,0.0500,309,=(C86+C88)/2,=(C87-D87)/SQRT(C87*(1-C87/$C$108)+0.25*(C86+C88)*(1-(C86+C88)/$C$108)),=2*(1-NORMSDIST(ABS(E87))),
0.0500,0.0525,337,=(C87+C89)/2,=(C88-D88)/SQRT(C88*(1-C88/$C$108)+0.25*(C87+C89)*(1-(C87+C89)/$C$108)),=2*(1-NORMSDIST(ABS(E88))),
0.0525,0.0550,309,=(C88+C90)/2,=(C89-D89)/SQRT(C89*(1-C89/$C$108)+0.25*(C88+C90)*(1-(C88+C90)/$C$108)),=2*(1-NORMSDIST(ABS(E89))),
0.0550,0.0575,304,=(C89+C91)/2,=(C90-D90)/SQRT(C90*(1-C90/$C$108)+0.25*(C89+C91)*(1-(C89+C91)/$C$108)),=2*(1-NORMSDIST(ABS(E90))),
0.0575,0.0600,289,=(C90+C92)/2,=(C91-D91)/SQRT(C91*(1-C91/$C$108)+0.25*(C90+C92)*(1-(C90+C92)/$C$108)),=2*(1-NORMSDIST(ABS(E91))),
0.0600,0.0625,289,=(C91+C93)/2,=(C92-D92)/SQRT(C92*(1-C92/$C$108)+0.25*(C91+C93)*(1-(C91+C93)/$C$108)),=2*(1-NORMSDIST(ABS(E92))),
0.0625,0.0650,295,=(C92+C94)/2,=(C93-D93)/SQRT(C93*(1-C93/$C$108)+0.25*(C92+C94)*(1-(C92+C94)/$C$108)),=2*(1-NORMSDIST(ABS(E93))),
0.0650,0.0675,301,=(C93+C95)/2,=(C94-D94)/SQRT(C94*(1-C94/$C$108)+0.25*(C93+C95)*(1-(C93+C95)/$C$108)),=2*(1-NORMSDIST(ABS(E94))),
0.0675,0.0700,257,=(C94+C96)/2,=(C95-D95)/SQRT(C95*(1-C95/$C$108)+0.25*(C94+C96)*(1-(C94+C96)/$C$108)),=2*(1-NORMSDIST(ABS(E95))),
0.0700,0.0725,246,=(C95+C97)/2,=(C96-D96)/SQRT(C96*(1-C96/$C$108)+0.25*(C95+C97)*(1-(C95+C97)/$C$108)),=2*(1-NORMSDIST(ABS(E96))),
0.0725,0.0750,246,=(C96+C98)/2,=(C97-D97)/SQRT(C97*(1-C97/$C$108)+0.25*(C96+C98)*(1-(C96+C98)/$C$108)),=2*(1-NORMSDIST(ABS(E97))),
0.0750,0.0775,239,=(C97+C99)/2,=(C98-D98)/SQRT(C98*(1-C98/$C$108)+0.25*(C97+C99)*(1-(C97+C99)/$C$108)),=2*(1-NORMSDIST(ABS(E98))),
0.0775,0.0800,203,=(C98+C100)/2,=(C99-D99)/SQRT(C99*(1-C99/$C$108)+0.25*(C98+C100)*(1-(C98+C100)/$C$108)),=2*(1-NORMSDIST(ABS(E99))),
0.0800,0.0825,230,=(C99+C101)/2,=(C100-D100)/SQRT(C100*(1-C100/$C$108)+0.25*(C99+C101)*(1-(C99+C101)/$C$108)),=2*(1-NORMSDIST(ABS(E100))),
0.0825,0.0850,206,=(C100+C102)/2,=(C101-D101)/SQRT(C101*(1-C101/$C$108)+0.25*(C100+C102)*(1-(C100+C102)/$C$108)),=2*(1-NORMSDIST(ABS(E101))),
0.0850,0.0875,191,=(C101+C103)/2,=(C102-D102)/SQRT(C102*(1-C102/$C$108)+0.25*(C101+C103)*(1-(C101+C103)/$C$108)),=2*(1-NORMSDIST(ABS(E102))),
0.0875,0.0900,202,=(C102+C104)/2,=(C103-D103)/SQRT(C103*(1-C103/$C$108)+0.25*(C102+C104)*(1-(C102+C104)/$C$108)),=2*(1-NORMSDIST(ABS(E103))),
0.0900,0.0925,198,=(C103+C105)/2,=(C104-D104)/SQRT(C104*(1-C104/$C$108)+0.25*(C103+C105)*(1-(C103+C105)/$C$108)),=2*(1-NORMSDIST(ABS(E104))),
0.0925,0.0950,179,=(C104+C106)/2,=(C105-D105)/SQRT(C105*(1-C105/$C$108)+0.25*(C104+C106)*(1-(C104+C106)/$C$108)),=2*(1-NORMSDIST(ABS(E105))),
0.0950,0.0975,172,=(C105+C107)/2,=(C106-D106)/SQRT(C106*(1-C106/$C$108)+0.25*(C105+C107)*(1-(C105+C107)/$C$108)),=2*(1-NORMSDIST(ABS(E106))),
0.0975,0.1000,172,,,,
N in window,,=SUM(C28:C107)
distribution,"=SPARKLINE(C28:C107,{""charttype"",""column"";""color"",""#2a78d6""})",,,,,<- 80 bars; zero is the boundary between bar 40 and 41

"TEST — ROA, bin width 0.005"
"bin width 0.005; window |x| <= 0.10; zero on a bin boundary. Counts are pipeline values; expected, z and p are live formulas: expected = (count above + count below)/2, z = (count - expected)/sd with the binomial sd used in Burgstahler-Dichev."
bin_left,bin_right,count,expected,z,p_value,flag
-0.1000,-0.0950,167,,,,
-0.0950,-0.0900,159,=(C114+C116)/2,=(C115-D115)/SQRT(C115*(1-C115/$C$154)+0.25*(C114+C116)*(1-(C114+C116)/$C$154)),=2*(1-NORMSDIST(ABS(E115))),
-0.0900,-0.0850,164,=(C115+C117)/2,=(C116-D116)/SQRT(C116*(1-C116/$C$154)+0.25*(C115+C117)*(1-(C115+C117)/$C$154)),=2*(1-NORMSDIST(ABS(E116))),
-0.0850,-0.0800,182,=(C116+C118)/2,=(C117-D117)/SQRT(C117*(1-C117/$C$154)+0.25*(C116+C118)*(1-(C116+C118)/$C$154)),=2*(1-NORMSDIST(ABS(E117))),
-0.0800,-0.0750,187,=(C117+C119)/2,=(C118-D118)/SQRT(C118*(1-C118/$C$154)+0.25*(C117+C119)*(1-(C117+C119)/$C$154)),=2*(1-NORMSDIST(ABS(E118))),
-0.0750,-0.0700,198,=(C118+C120)/2,=(C119-D119)/SQRT(C119*(1-C119/$C$154)+0.25*(C118+C120)*(1-(C118+C120)/$C$154)),=2*(1-NORMSDIST(ABS(E119))),
-0.0700,-0.0650,206,=(C119+C121)/2,=(C120-D120)/SQRT(C120*(1-C120/$C$154)+0.25*(C119+C121)*(1-(C119+C121)/$C$154)),=2*(1-NORMSDIST(ABS(E120))),
-0.0650,-0.0600,213,=(C120+C122)/2,=(C121-D121)/SQRT(C121*(1-C121/$C$154)+0.25*(C120+C122)*(1-(C120+C122)/$C$154)),=2*(1-NORMSDIST(ABS(E121))),
-0.0600,-0.0550,209,=(C121+C123)/2,=(C122-D122)/SQRT(C122*(1-C122/$C$154)+0.25*(C121+C123)*(1-(C121+C123)/$C$154)),=2*(1-NORMSDIST(ABS(E122))),
-0.0550,-0.0500,216,=(C122+C124)/2,=(C123-D123)/SQRT(C123*(1-C123/$C$154)+0.25*(C122+C124)*(1-(C122+C124)/$C$154)),=2*(1-NORMSDIST(ABS(E123))),
-0.0500,-0.0450,232,=(C123+C125)/2,=(C124-D124)/SQRT(C124*(1-C124/$C$154)+0.25*(C123+C125)*(1-(C123+C125)/$C$154)),=2*(1-NORMSDIST(ABS(E124))),
-0.0450,-0.0400,253,=(C124+C126)/2,=(C125-D125)/SQRT(C125*(1-C125/$C$154)+0.25*(C124+C126)*(1-(C124+C126)/$C$154)),=2*(1-NORMSDIST(ABS(E125))),
-0.0400,-0.0350,270,=(C125+C127)/2,=(C126-D126)/SQRT(C126*(1-C126/$C$154)+0.25*(C125+C127)*(1-(C125+C127)/$C$154)),=2*(1-NORMSDIST(ABS(E126))),
-0.0350,-0.0300,310,=(C126+C128)/2,=(C127-D127)/SQRT(C127*(1-C127/$C$154)+0.25*(C126+C128)*(1-(C126+C128)/$C$154)),=2*(1-NORMSDIST(ABS(E127))),
-0.0300,-0.0250,314,=(C127+C129)/2,=(C128-D128)/SQRT(C128*(1-C128/$C$154)+0.25*(C127+C129)*(1-(C127+C129)/$C$154)),=2*(1-NORMSDIST(ABS(E128))),
-0.0250,-0.0200,315,=(C128+C130)/2,=(C129-D129)/SQRT(C129*(1-C129/$C$154)+0.25*(C128+C130)*(1-(C128+C130)/$C$154)),=2*(1-NORMSDIST(ABS(E129))),
-0.0200,-0.0150,356,=(C129+C131)/2,=(C130-D130)/SQRT(C130*(1-C130/$C$154)+0.25*(C129+C131)*(1-(C129+C131)/$C$154)),=2*(1-NORMSDIST(ABS(E130))),
-0.0150,-0.0100,358,=(C130+C132)/2,=(C131-D131)/SQRT(C131*(1-C131/$C$154)+0.25*(C130+C132)*(1-(C130+C132)/$C$154)),=2*(1-NORMSDIST(ABS(E131))),
-0.0100,-0.0050,409,=(C131+C133)/2,=(C132-D132)/SQRT(C132*(1-C132/$C$154)+0.25*(C131+C133)*(1-(C131+C133)/$C$154)),=2*(1-NORMSDIST(ABS(E132))),
-0.0050,0.0000,459,=(C132+C134)/2,=(C133-D133)/SQRT(C133*(1-C133/$C$154)+0.25*(C132+C134)*(1-(C132+C134)/$C$154)),=2*(1-NORMSDIST(ABS(E133))),just below zero
0.0000,0.0050,550,=(C133+C135)/2,=(C134-D134)/SQRT(C134*(1-C134/$C$154)+0.25*(C133+C135)*(1-(C133+C135)/$C$154)),=2*(1-NORMSDIST(ABS(E134))),just above zero
0.0050,0.0100,533,=(C134+C136)/2,=(C135-D135)/SQRT(C135*(1-C135/$C$154)+0.25*(C134+C136)*(1-(C134+C136)/$C$154)),=2*(1-NORMSDIST(ABS(E135))),
0.0100,0.0150,590,=(C135+C137)/2,=(C136-D136)/SQRT(C136*(1-C136/$C$154)+0.25*(C135+C137)*(1-(C135+C137)/$C$154)),=2*(1-NORMSDIST(ABS(E136))),
0.0150,0.0200,576,=(C136+C138)/2,=(C137-D137)/SQRT(C137*(1-C137/$C$154)+0.25*(C136+C138)*(1-(C136+C138)/$C$154)),=2*(1-NORMSDIST(ABS(E137))),
0.0200,0.0250,595,=(C137+C139)/2,=(C138-D138)/SQRT(C138*(1-C138/$C$154)+0.25*(C137+C139)*(1-(C137+C139)/$C$154)),=2*(1-NORMSDIST(ABS(E138))),
0.0250,0.0300,628,=(C138+C140)/2,=(C139-D139)/SQRT(C139*(1-C139/$C$154)+0.25*(C138+C140)*(1-(C138+C140)/$C$154)),=2*(1-NORMSDIST(ABS(E139))),
0.0300,0.0350,643,=(C139+C141)/2,=(C140-D140)/SQRT(C140*(1-C140/$C$154)+0.25*(C139+C141)*(1-(C139+C141)/$C$154)),=2*(1-NORMSDIST(ABS(E140))),
0.0350,0.0400,633,=(C140+C142)/2,=(C141-D141)/SQRT(C141*(1-C141/$C$154)+0.25*(C140+C142)*(1-(C140+C142)/$C$154)),=2*(1-NORMSDIST(ABS(E141))),
0.0400,0.0450,593,=(C141+C143)/2,=(C142-D142)/SQRT(C142*(1-C142/$C$154)+0.25*(C141+C143)*(1-(C141+C143)/$C$154)),=2*(1-NORMSDIST(ABS(E142))),
0.0450,0.0500,635,=(C142+C144)/2,=(C143-D143)/SQRT(C143*(1-C143/$C$154)+0.25*(C142+C144)*(1-(C142+C144)/$C$154)),=2*(1-NORMSDIST(ABS(E143))),
0.0500,0.0550,646,=(C143+C145)/2,=(C144-D144)/SQRT(C144*(1-C144/$C$154)+0.25*(C143+C145)*(1-(C143+C145)/$C$154)),=2*(1-NORMSDIST(ABS(E144))),
0.0550,0.0600,593,=(C144+C146)/2,=(C145-D145)/SQRT(C145*(1-C145/$C$154)+0.25*(C144+C146)*(1-(C144+C146)/$C$154)),=2*(1-NORMSDIST(ABS(E145))),
0.0600,0.0650,584,=(C145+C147)/2,=(C146-D146)/SQRT(C146*(1-C146/$C$154)+0.25*(C145+C147)*(1-(C145+C147)/$C$154)),=2*(1-NORMSDIST(ABS(E146))),
0.0650,0.0700,558,=(C146+C148)/2,=(C147-D147)/SQRT(C147*(1-C147/$C$154)+0.25*(C146+C148)*(1-(C146+C148)/$C$154)),=2*(1-NORMSDIST(ABS(E147))),
0.0700,0.0750,492,=(C147+C149)/2,=(C148-D148)/SQRT(C148*(1-C148/$C$154)+0.25*(C147+C149)*(1-(C147+C149)/$C$154)),=2*(1-NORMSDIST(ABS(E148))),
0.0750,0.0800,442,=(C148+C150)/2,=(C149-D149)/SQRT(C149*(1-C149/$C$154)+0.25*(C148+C150)*(1-(C148+C150)/$C$154)),=2*(1-NORMSDIST(ABS(E149))),
0.0800,0.0850,436,=(C149+C151)/2,=(C150-D150)/SQRT(C150*(1-C150/$C$154)+0.25*(C149+C151)*(1-(C149+C151)/$C$154)),=2*(1-NORMSDIST(ABS(E150))),
0.0850,0.0900,393,=(C150+C152)/2,=(C151-D151)/SQRT(C151*(1-C151/$C$154)+0.25*(C150+C152)*(1-(C150+C152)/$C$154)),=2*(1-NORMSDIST(ABS(E151))),
0.0900,0.0950,377,=(C151+C153)/2,=(C152-D152)/SQRT(C152*(1-C152/$C$154)+0.25*(C151+C153)*(1-(C151+C153)/$C$154)),=2*(1-NORMSDIST(ABS(E152))),
0.0950,0.1000,344,,,,
N in window,,=SUM(C114:C153)
distribution,"=SPARKLINE(C114:C153,{""charttype"",""column"";""color"",""#2a78d6""})",,,,,<- 40 bars; zero is the boundary between bar 20 and 21

"TEST — ROA, bin width 0.01"
"bin width 0.01; window |x| <= 0.10; zero on a bin boundary. Counts are pipeline values; expected, z and p are live formulas: expected = (count above + count below)/2, z = (count - expected)/sd with the binomial sd used in Burgstahler-Dichev."
bin_left,bin_right,count,expected,z,p_value,flag
-0.1000,-0.0900,326,,,,
-0.0900,-0.0800,346,=(C160+C162)/2,=(C161-D161)/SQRT(C161*(1-C161/$C$180)+0.25*(C160+C162)*(1-(C160+C162)/$C$180)),=2*(1-NORMSDIST(ABS(E161))),
-0.0800,-0.0700,385,=(C161+C163)/2,=(C162-D162)/SQRT(C162*(1-C162/$C$180)+0.25*(C161+C163)*(1-(C161+C163)/$C$180)),=2*(1-NORMSDIST(ABS(E162))),
-0.0700,-0.0600,419,=(C162+C164)/2,=(C163-D163)/SQRT(C163*(1-C163/$C$180)+0.25*(C162+C164)*(1-(C162+C164)/$C$180)),=2*(1-NORMSDIST(ABS(E163))),
-0.0600,-0.0500,425,=(C163+C165)/2,=(C164-D164)/SQRT(C164*(1-C164/$C$180)+0.25*(C163+C165)*(1-(C163+C165)/$C$180)),=2*(1-NORMSDIST(ABS(E164))),
